date,state,title
2025-01-12,draft,Update - Introducing Season Format
2025-04-12,draft,One Year of CivicTech WR
2025-06-24,draft,Season 4 Recap
2017-08-11,published,Ontario Digital Service Lab Launch
2017-10-26,published,CivicTechWR meets House of Friendship
2018-03-11,published,Urban Design & Happiness
2018-08-19,published,"In the news - The Record - Aug 19, 2018"
2018-10-03,published,"In the news - Waterloo Chronicle - Oct 03, 2018"
2018-10-20,published,"In the news - CBC - Oct 20, 2018"
2024-12-15,published,"Hello, world (again)"
2025-06-24,published,Season 4 - Project Connected KW
2025-06-24,published,Season 4 - Project Midtown Radio
2025-07-01,published,Iterating on IDEO's DVF Framework (for CivicTech)
2025-09-10,published,Season5-finale
,theme-demo (delete),2020-02-1-much-more-than-a-desert-trip-to-sahara
,theme-demo (delete),2020-02-2-les-ambassadeurs
2018-06-12,theme-demo (delete),education
2019-12-01,theme-demo (delete),press-and-education
2019-12-01,theme-demo (delete),the-observer
2020-01-01,theme-demo (delete),french-wine
2020-01-01,theme-demo (delete),review-oscar
2020-01-01,theme-demo (delete),that-day-we-almost-missed-flight
2020-01-11,theme-demo (delete),post-with-spoiler.
2020-01-12,theme-demo (delete),external-featured-image
2020-01-12,theme-demo (delete),london
2020-01-12,theme-demo (delete),one-day-just-started-adventure
,unpublished (no date),End of Season DRAFT
